11个城市,保定,北京,成都,佛山,阜阳,广州,贵阳,杭州,合肥,济南,茂名,南昌,南京,莆田,厦门,汕头,上海,绍兴,深圳,石家庄,苏州,太原,唐山,天津,武汉,西安,襄阳,盐城,扬州,长春,长沙,郑州,淄博,常州,淮安,连云港,南宁,徐州,重庆,大连,昆明,南通,宁波,沈阳,无锡,枣庄,青岛,哈尔滨,临沂,乌鲁木齐
时间,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4
24,153.3,49.2,139.7,132.6,242.9,166.1,74,65.5,119.8,95.5,192.7,55.5,124.4,91.7,164.8,121.3,22,62.5,82.1,68.3,34,91.7,41.6,121.4,125.3,124.1,154.2,72.9,72.9,33.3,154.5,98.7,48.5,55,65.2,55.6,111,134.4,92.9,61.3,59.8,62.1,33.3,53.7,36.1,146.8,38,117.2,49.4,31.4
23,203.6,60.1,137.5,142.9,212.9,186.3,81.6,64.1,101.3,86.9,162.6,55.2,121.1,90.2,153.6,149.4,19.6,63.5,103.2,59.6,41.6,89.3,39,131.7,120.2,123.5,158.1,80.8,67.5,35.3,158.7,102.1,52.1,46,75.7,77.6,127.1,140,89.4,68.5,68.8,88.6,28.2,59.6,34,153,42.4,125,43.9,28.5
22,201.2,84.4,139.9,138.3,222.9,197.5,82.5,59.9,98.6,76.5,164.4,52.8,142.9,88.5,189.6,129.8,20.9,55.7,87,62.7,44.9,85.8,45,122.5,117.6,125,175.6,79.5,74.3,37.3,162.6,101.9,37.2,44.5,92.9,180.6,137.2,141.9,94.8,72.8,72.5,100,25,71.9,23.3,160,50.9,89.9,109.8,30.4
21,164.8,100.3,139.1,143.4,185.1,190,93.6,57.8,100,73,198.4,49.4,157.6,93.2,248.7,74.7,22,49.4,83.6,68.8,43.5,85.5,88.5,111.5,125,134.6,184.8,60.5,75.4,47.2,162.2,107.8,37,38,97,186.4,138.2,138.2,96.2,74.5,68.6,63.2,22.6,115,23,133.3,40,66,115.3,20.7
20,147.1,106.3,136.3,153.2,191.9,199.2,92.7,54.3,98.5,64,271.7,50.3,148.7,100,305,105.3,23.1,47.3,83.2,73.7,40.9,81.3,93.9,104,119.5,141.4,175.6,40.5,49.2,63.9,157.5,114.9,35.6,37.8,78.1,85.7,130.7,134.4,96.5,70.1,59.4,50,22.3,132.4,21.8,103.1,36.6,60,114.1,37.1
19,124.6,132.2,124.2,147.7,223.3,189.1,89.9,45.6,98.5,62.4,364.6,52.1,134,112.1,291.7,106,28.2,44.1,84.6,73.1,37,86.6,89.7,102.6,111.8,146.2,169.7,27.1,60,67.8,160.2,117.9,25.6,42,64.5,42.3,125,136.1,100.1,82.3,56.2,33.3,23.6,112.4,23.5,104.8,38.7,61.4,83.5,43.9
18,103.1,181.4,114.6,148.6,208.1,179,89.8,51.3,100,62.7,367.7,57,119.2,126.6,280,90.9,28.2,44.3,88.3,70.2,38.7,97.6,87,104.2,98.8,150.2,156.6,27.8,61.4,54.2,165.6,113.7,28.8,49.6,67.2,36.5,125,130.4,113.1,82.5,57.4,31.7,25.5,75.4,29.7,93.1,41.2,76.6,76.9,45.2
17,106.6,210.6,102.3,123.6,215.8,168.5,88,47.8,103.4,70.4,320,57.9,106.3,126.4,221.8,91,24.4,38.7,95.7,65.6,51.6,103.3,75.4,99.8,89.9,153.2,151.4,26.4,72.3,48.7,179.8,109.7,30.2,57.2,73.4,36,123.1,134.2,118.7,75.8,63.1,36.7,27.8,73.1,44.1,90,45.2,87.7,73.6,61.9
16,119.4,190.2,92.2,131.8,246,156,107.8,46.3,103.5,75.9,408.3,59.7,101.5,120.3,154,86.9,31.7,38.7,115.5,67.4,53.4,69.6,71.9,100.9,82.1,148.9,140.4,27.8,81.4,48.2,193.1,104.4,33.8,58.9,68.8,35.4,126.3,130.4,137.7,72.2,78.4,38.7,33,83.5,52.6,94.4,61.2,89.3,78.3,85.3
15,150,181.7,78.2,98.9,195.8,135.3,148.9,45.1,112.3,68,246.2,64.4,95.9,123.6,78.3,80.6,29.5,42.6,86.4,81,45.5,104,73.5,92.7,83.3,130,137.1,32.4,65.7,51.9,180.2,100.6,34.1,64.1,67.2,47.9,123.4,130.4,160.9,88.2,71.3,43.3,35.7,99.6,78.8,154.2,75.8,90,81.9,90.3
