Year,Name,Place,Lat,Long,Mass_KG
1971,Roosevelt County 065,"New Mexico, USA",33.61666667,-103.45,0.406
1971,St. Vrain,"New Mexico, USA",34.31666667,-103.4666667,0.0455
1971,Salaices?**,"Chihuahua, Mexico",27,-105.25,24.5
1971,Sanclerlandia?**,"Goias, Brazil",-16.21666667,-50.3,279
1971,Shuangyang,"Jilin, China",43.5,125.6666667,3.9
1971,South Plains?**,"Texas, USA",34.26666667,-101.25,4.76
1971,West Forrest?**,"Western Australia, Australia",-30.75,127.9833333,0.1706
1971,Wethersfield (1971)?**,"Connecticut, USA",41.7,-72.65,0.35
1971,Wichita,"Kansas, USA",37.58333333,-97.2,2.37
1971,Willowbar?**,"Oklahoma, USA",36.73333333,-102.2,2.07
1971,Yongning,"Guangxi, China",22.75,108.3333333,60
1971,Roosevelt County 048,"New Mexico, USA",33.61666667,-103.45,0.0573
1971,Three Little Hills?**,"New Mexico, USA",32.06666667,-107.5,0.016
1972,Anson?**,"Kansas, USA",39.33333333,-97.55,3.9
1972,Arch?**,"New Mexico, USA",34.15,-103.2166667,0.986
1972,Bowesmont (b),"North Dakota, USA",48.78333333,-97.35,1.3
1972,Commodore?**,"South Australia, Australia",-31.2,138.3,0.304
1972,Delaware?**,"Arkansas, USA",35.28333333,-93.5,8.35
1972,Dor el Gani?**,"Al Jufrah, Libya",26.95,16.03333333,2.58
1972,El Mirage?**,"Arizona, USA",33.68333333,-112.2666667,0.598
1972,Flagler,"Colorado, USA",39.21666667,-102.9833333,4.1
1972,Guibga?**,"Namentenga, Burkina Faso",13.5,-0.683333333,0.288
1972,Happy (b),"Texas, USA",34.58333333,-101.9833333,2.51
1972,Hardtner?**,"Kansas, USA",37.06666667,-98.65,13
1972,Ipiranga?**,"Parana, Brazil",-25.5,-54.5,7
1972,Kenna,"New Mexico, USA",33.9,-103.55,10.9
1972,Kenna (b),"New Mexico, USA",33.7,-103.7666667,0.453
